,stream_date,value
191,2023-04-15,-0.25
192,2023-04-15,-0.1111111111111111
193,2023-04-15,-0.1
194,2023-04-15,-0.391304347826087
195,2023-04-15,-1.0
196,2023-04-15,-0.75
197,2023-04-15,0.42857142857142855
198,2023-04-15,-0.15384615384615385
199,2023-04-15,-0.5
200,2023-04-15,-0.4444444444444444
201,2023-04-15,-0.1111111111111111
202,2023-04-15,-0.25
203,2023-04-15,-0.6666666666666666
204,2023-04-15,0.0
205,2023-04-15,-0.3333333333333333
206,2023-04-15,-0.5
207,2023-04-15,0.0
208,2023-04-15,1.0
209,2023-04-15,0.2857142857142857
210,2023-04-15,0.25
211,2023-04-15,-0.2
212,2023-04-15,0.0
213,2023-04-15,0.0
214,2023-04-15,-0.5
215,2023-04-15,0.5
216,2023-04-15,0.0
217,2023-04-15,0.0
218,2023-04-15,0.0
219,2023-04-15,0.2
220,2023-04-15,-0.3333333333333333
221,2023-04-15,-0.14285714285714285
222,2023-04-15,0.0
223,2023-04-15,0.0
224,2023-04-15,0.0
225,2023-04-15,-0.3333333333333333
226,2023-04-15,-0.25
227,2023-04-15,0.5
228,2023-04-15,-0.5
229,2023-04-15,-0.3333333333333333
230,2023-04-15,1.0
231,2023-04-15,0.3333333333333333
232,2023-04-15,0.0
233,2023-04-15,-0.16666666666666666
234,2023-04-15,0.0
235,2023-04-15,0.0
236,2023-04-15,0.5
237,2023-04-15,-0.5
238,2023-04-15,0.0
239,2023-04-15,0.42857142857142855
240,2023-04-15,-0.125
241,2023-04-15,0.09090909090909091
242,2023-04-15,0.0
243,2023-04-15,-0.16666666666666666
244,2023-04-15,0.0
245,2023-04-15,0.5
246,2023-04-15,0.4444444444444444
247,2023-04-15,0.1
248,2023-04-15,0.1
249,2023-04-15,0.0
250,2023-04-15,-0.3333333333333333
251,2023-04-15,1.0
252,2023-04-15,0.25
253,2023-04-15,0.0
254,2023-04-15,0.3333333333333333
255,2023-04-15,0.0
256,2023-04-15,0.5
257,2023-04-15,0.5
258,2023-04-15,-0.4
259,2023-04-15,0.6666666666666666
260,2023-04-15,-0.2727272727272727
261,2023-04-15,0.0
262,2023-04-15,0.16666666666666666
263,2023-04-15,0.0
264,2023-04-15,-0.06666666666666667
265,2023-04-15,0.0
266,2023-04-15,-0.2
267,2023-04-15,0.1
268,2023-04-15,0.16666666666666666
269,2023-04-15,0.3333333333333333
270,2023-04-15,-0.1111111111111111
271,2023-04-15,0.0
272,2023-04-15,0.16666666666666666
273,2023-04-15,0.4
274,2023-04-15,-0.2727272727272727
275,2023-04-15,0.2
276,2023-04-15,0.2
277,2023-04-15,0.5
278,2023-04-15,0.75
279,2023-04-15,0.0
280,2023-04-15,0.25
281,2023-04-15,0.25
282,2023-04-15,-0.4
283,2023-04-15,0.3333333333333333
284,2023-04-15,0.0
285,2023-04-15,0.4
286,2023-04-15,-0.16666666666666666
287,2023-04-15,-0.5
288,2023-04-15,1.0
289,2023-04-15,0.0
290,2023-04-15,0.3333333333333333
291,2023-04-15,-0.3333333333333333
292,2023-04-15,0.0
293,2023-04-15,0.3333333333333333
294,2023-04-15,0.0
295,2023-04-15,0.0
296,2023-04-15,-0.25
297,2023-04-15,0.3333333333333333
298,2023-04-15,0.0
299,2023-04-15,-0.2857142857142857
300,2023-04-15,0.3333333333333333
301,2023-04-15,-0.3333333333333333
302,2023-04-15,-0.5
303,2023-04-15,0.25
304,2023-04-15,-0.7142857142857143
305,2023-04-15,-0.07692307692307693
306,2023-04-15,0.16666666666666666
307,2023-04-15,0.14285714285714285
308,2023-04-15,0.0
309,2023-04-15,0.4444444444444444
310,2023-04-15,0.2
311,2023-04-15,-0.5
312,2023-04-15,0.5
313,2023-04-15,0.0
314,2023-04-15,0.3333333333333333
315,2023-04-15,0.2
316,2023-04-15,0.16666666666666666
317,2023-04-15,0.5
318,2023-04-15,0.4
319,2023-04-15,0.2222222222222222
320,2023-04-15,0.0
321,2023-04-15,0.2
322,2023-04-15,-0.3333333333333333
323,2023-04-15,0.16666666666666666
324,2023-04-15,-0.5
325,2023-04-15,0.25
326,2023-04-15,0.42857142857142855
327,2023-04-15,0.0
328,2023-04-15,-1.0
329,2023-04-15,0.0
330,2023-04-15,-0.6666666666666666
331,2023-04-15,-0.5
332,2023-04-15,-0.25
333,2023-04-15,1.0
